id,hash,name
sicilian-delight-ithaca-2,cWHEqdEPXcNqYAceoM7DXw,Sicilian Delight
dennis-homemade-ice-cream-newfield,UOxv8fDvUdG8Gu8OI_KmwA,Dennis' Homemade Ice Cream
royal-court-restaurant-ithaca,rZYRv5dY2KO2glgirVWyLQ,Royal Court Restaurant
dunkin-donuts-ithaca,eAZ6O8mY7_iH5i6njXVWnA,Dunkin' Donuts
dunkin-donuts-ithaca-2,dMvR-khu_DdQ1cLP6x9Spw,Dunkin' Donuts
atrium-cafe-ithaca,pTNLIbE3swnJxy7EpuqeDw,Atrium Cafe
papa-johns-pizza-ithaca,YAE5dlDiDWuJfxruZBn8bQ,Papa John's Pizza
bibim-bap-korean-restaurant-ithaca,coFTwjMoXxczcjGZuPl-Nw,Bibim Bap Korean Restaurant
pats-pizzeria-ithaca-ithaca,4boEA9gl4DVaelq2JInArQ,Pat's Pizzeria - Ithaca
big-als-hilltop-quikstop-ithaca,2yB1wx6AHtTyOcR-J4rTyw,Big Al's Hilltop Quikstop
pizza-hut-ithaca,ETPYh5nPNP4cFG36E-QBkw,Pizza Hut
starbucks-ithaca-3,4o6B9KEbFg3p8lbpnBUVRQ,Starbucks
okenshields-ithaca,ZfQlRAbG2tD4awgthoULvg,Okenshields
mama-teresa-pizzeria-ithaca,VxOzTQd5tenLcVl30ITeug,Mama Teresa Pizzeria
universal-deli-grocery-ithaca,YOYPZ111cvtAMOvSY_9lvw,Universal Deli Grocery
amit-bhatia-libe-caf�-ithaca,TfcJWO_g52iDt6hpMECMKQ,Amit Bhatia Libe Caf�
arbys-ithaca-3,J6eKeIzGAKcDJI3l1LvHMQ,Arby's
silent-city-uprising-ithaca,rsNAsBpwQmAI5cvSL7e0PA,Silent City Uprising
rustys-ithaca,Am6PvXZ5H3aUfUdbrtaD0w,Rusty's
hopes-cafe-and-catering-ithaca-2,SD9AXT1ZVzznuf6VAN1LNw,Hope's Cafe & Catering
cayuga-lake-cruises-ithaca,6NOyaXyLDJ2uqJc-wcL8bw,Cayuga Lake Cruises
subway-ithaca,yF8TrnDbnj_6nUZ0Intt3Q,Subway
burger-king-ithaca-3,YhV_UvOd0iHvmU4tefFLFQ,Burger King
subway-ithaca-5,rFEkPPc0w2Y3Z9sLXWoxdQ,Subway
fork-and-gavel-cafe-ithaca,0fTKldZB0hWZCYZy2jVafA,Fork and Gavel Cafe
mattins-caf�-ithaca,lHhLJK6gMun5JAJsvhJejw,Mattin's Caf�
feel-good-foods-ithaca,X48_-RjsQMLz8pMVU9JEQA,Feel Good Foods
bingos-food-truck-ithaca,jPYVgvGez5IXk8bK6e5VXg,Bingo's Food Truck
burger-king-ithaca,ZBLz6267y24V77OLww_AUA,Burger King
little-tokyo-ithaca,jhGpCnNJZo1R2DsIIfzlIw,Little Tokyo
the-sugar-shack-ithaca,gRcRNfuY0n9F_3OcYkzNww,The Sugar Shack
ctb-appetizers-ithaca,hoQyS6Q0mp6sFXbpJy9nuA,Ctb Appetizers
finger-lakes-music-bar-ithaca-2,eg3rtotV5ebUono0dvWMHQ,Finger Lakes Music Bar
easy-wok-ithaca,qeNoKe7cKDV72-98xIOPQA,Easy Wok
subway-ithaca-13,J6MITPR20MrZjxQKHuIHIA,Subway
subway-ithaca-11,t_RlVJvkXLIjyepVYdwWIg,Subway
wendys-ithaca-2,Hg7gud3GDxj4wchPr8n15w,Wendy's
sweet-spot-ithaca,8FpVJek1uqdaowPLZptfWg,Sweet Spot
allechant-ithaca,lOn-wpRKVcjdd9VNlyEQNA,Allechant
early-bird-farm-tompkins,ydYsVAHtME54md2oMtJbPw,Early Bird Farm
salsa-fiesta-ithaca-2,#NAME?,Salsa Fiesta
dunkin-donuts-ithaca-5,h64piIH4brw9HRguwnNF8w,Dunkin' Donuts
byrne-dairy-store-ithaca,kT9pzUmK_8HcqW6NytGM_g,Byrne Dairy Store
little-caesars-pizza-ithaca,#NAME?,Little Caesars Pizza
subway-ithaca-8,5XA8QegvAKB40UYAYsoVBQ,Subway
fischer-old-growth-forest-natural-area-newfield,ESC5H32cDKV_F2Oe21NxLg,Fischer Old-growth Forest Natural Area
